Test,TestId,Type,Item,Message,Data,Path
BASEGAMEVER,2,"Unknown","","No applicable items found for test Base Game Version (BASEGAMEVER)",,"",
BLOCKSCAT,2,"Unknown","","No applicable items found for test Blocks Catalog (BLOCKSCAT)",,"",
CBFG,1,"Test success","","Beta Features completed successfully",,"",
CDWORLDDATA,2,"Unknown","","No applicable items found for test Custom Dimension World Data Validation (CDWORLDDATA)",,"",
CHECKFEATUREDEPRECATION,2,"Unknown","","No applicable items found for test Feature Deprecation (CHECKFEATUREDEPRECATION)",,"",
CHKMANIF,1,"Test success","","Manifest Validation completed successfully",,"",
COMJSON,1,"Test success","","Community JSON Schema Validation completed successfully",,"",
COMJSON,1110,"Info","","Entity type is not at a current format version",,"/entities/minere/advanced_minecart.json",
COMJSON,1110,"Info","","Entity type is not at a current format version",,"/entities/minere/auto_miner.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/advanced_minecart.item.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/auto_miner.item.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/copper_drill.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/copper_rail.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/diamond_drill.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/diamond_rail.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/emerald_rail.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/gold_drill.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/golden_rail.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/iron_drill.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/iron_rail.json",
COMJSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/stone_drill.json",
CPACKICON,1,"Test success","","Pack Icon completed successfully",,"",
CPARTI,1,"Test success","","Particle Identifiers completed successfully",,"",
CROSSREFINDEX,2,"Unknown","","No applicable items found for test Cross-Reference Index (CROSSREFINDEX)",,"",
CSPJ,1,"Test success","","Skin Pack Validation completed successfully",,"",
CWI,1,"Test success","","World Icons completed successfully",,"",
ENTITYTYPE,1,"Test success","","Entity Type completed successfully",,"",
ENTITYTYPE,120,"Recommendation","","Behavior pack entity type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/entities/minere/advanced_minecart.json",
ENTITYTYPE,120,"Recommendation","","Behavior pack entity type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/entities/minere/auto_miner.json",
EXPFLAG,2,"Unknown","","No applicable items found for test Experimental Flags (EXPFLAG)",,"",
FORBFILE,1,"Test success","","Forbidden Files completed successfully",,"",
FORMATVER,1,"Test success","","Format Version completed successfully",,"",
FORMATVER,621,"Info","","Block type format_version",1,26,30,"/blocks/copper_rail.json",
FORMATVER,621,"Info","","Block type format_version",1,26,30,"/blocks/diamond_rail.json",
FORMATVER,621,"Info","","Block type format_version",1,26,30,"/blocks/emerald_rail.json",
FORMATVER,621,"Info","","Block type format_version",1,26,30,"/blocks/golden_rail.json",
FORMATVER,621,"Info","","Block type format_version",1,26,30,"/blocks/iron_rail.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/advanced_minecart.item.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/auto_miner.item.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/copper_drill.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/copper_rail.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/diamond_drill.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/diamond_rail.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/emerald_rail.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/gold_drill.json",
FORMATVER,623,"Info","","Item type format_version",1,21,30,"/items/minere/golden_rail.json",
